component_model_id,season,Model Week,location,target,weight
Historical Average,2016/2017,54,HHS Region 1,1 wk ahead,0.9999990005709
Subtype Historical Average,2016/2017,54,HHS Region 1,1 wk ahead,9.99429100513696e-07
Historical Average,2017/2018,54,HHS Region 1,1 wk ahead,0.999995711006047
Subtype Historical Average,2017/2018,54,HHS Region 1,1 wk ahead,4.28899395288346e-06
Historical Average,2010/2011,55,HHS Region 1,1 wk ahead,0.277590583007914
Subtype Historical Average,2010/2011,55,HHS Region 1,1 wk ahead,0.722409416992086
Historical Average,2011/2012,55,HHS Region 1,1 wk ahead,0.14202541722575
Subtype Historical Average,2011/2012,55,HHS Region 1,1 wk ahead,0.85797458277425
Historical Average,2012/2013,55,HHS Region 1,1 wk ahead,0.977971539839946
Subtype Historical Average,2012/2013,55,HHS Region 1,1 wk ahead,0.0220284601600535
Historical Average,2013/2014,55,HHS Region 1,1 wk ahead,0.00104318661754023
Subtype Historical Average,2013/2014,55,HHS Region 1,1 wk ahead,0.99895681338246
Historical Average,2014/2015,55,HHS Region 1,1 wk ahead,0.969941353614782
Subtype Historical Average,2014/2015,55,HHS Region 1,1 wk ahead,0.0300586463852179
Historical Average,2015/2016,55,HHS Region 1,1 wk ahead,0.157990836570349
Subtype Historical Average,2015/2016,55,HHS Region 1,1 wk ahead,0.842009163429651
Historical Average,2016/2017,55,HHS Region 1,1 wk ahead,0.147726006388257
Subtype Historical Average,2016/2017,55,HHS Region 1,1 wk ahead,0.852273993611743
Historical Average,2017/2018,55,HHS Region 1,1 wk ahead,2.6596457737702e-06
Subtype Historical Average,2017/2018,55,HHS Region 1,1 wk ahead,0.999997340354226
Historical Average,2010/2011,56,HHS Region 1,1 wk ahead,1.48927431380698e-05
Subtype Historical Average,2010/2011,56,HHS Region 1,1 wk ahead,0.999985107256862
Historical Average,2011/2012,56,HHS Region 1,1 wk ahead,1.24277283195328e-05
Subtype Historical Average,2011/2012,56,HHS Region 1,1 wk ahead,0.99998757227168
Historical Average,2012/2013,56,HHS Region 1,1 wk ahead,2.80182929741297e-05
Subtype Historical Average,2012/2013,56,HHS Region 1,1 wk ahead,0.999971981707026
Historical Average,2013/2014,56,HHS Region 1,1 wk ahead,1.15097815746641e-05
Subtype Historical Average,2013/2014,56,HHS Region 1,1 wk ahead,0.999988490218425
Historical Average,2014/2015,56,HHS Region 1,1 wk ahead,0.999982092498806
Subtype Historical Average,2014/2015,56,HHS Region 1,1 wk ahead,1.79075011938678e-05
Historical Average,2015/2016,56,HHS Region 1,1 wk ahead,1.34208155491791e-05
Subtype Historical Average,2015/2016,56,HHS Region 1,1 wk ahead,0.999986579184451
Historical Average,2016/2017,56,HHS Region 1,1 wk ahead,7.68131897711028e-06
Subtype Historical Average,2016/2017,56,HHS Region 1,1 wk ahead,0.999992318681023
Historical Average,2017/2018,56,HHS Region 1,1 wk ahead,9.08135258753256e-07
Subtype Historical Average,2017/2018,56,HHS Region 1,1 wk ahead,0.999999091864741
Historical Average,2010/2011,57,HHS Region 1,1 wk ahead,0.999998783863848
Subtype Historical Average,2010/2011,57,HHS Region 1,1 wk ahead,1.21613615192567e-06
Historical Average,2011/2012,57,HHS Region 1,1 wk ahead,0.999999145619032
Subtype Historical Average,2011/2012,57,HHS Region 1,1 wk ahead,8.54380967663586e-07
Historical Average,2012/2013,57,HHS Region 1,1 wk ahead,0.99999886328267
Subtype Historical Average,2012/2013,57,HHS Region 1,1 wk ahead,1.13671733027563e-06
Historical Average,2013/2014,57,HHS Region 1,1 wk ahead,0.999997874221738
Subtype Historical Average,2013/2014,57,HHS Region 1,1 wk ahead,2.12577826209365e-06
Historical Average,2014/2015,57,HHS Region 1,1 wk ahead,0.99999761629687
Subtype Historical Average,2014/2015,57,HHS Region 1,1 wk ahead,2.3837031299829e-06
Historical Average,2015/2016,57,HHS Region 1,1 wk ahead,0.999998432369888
Subtype Historical Average,2015/2016,57,HHS Region 1,1 wk ahead,1.56763011235034e-06
Historical Average,2016/2017,57,HHS Region 1,1 wk ahead,0.999998802631884
Subtype Historical Average,2016/2017,57,HHS Region 1,1 wk ahead,1.19736811593964e-06
Historical Average,2017/2018,57,HHS Region 1,1 wk ahead,0.000447782710421549
Subtype Historical Average,2017/2018,57,HHS Region 1,1 wk ahead,0.999552217289578
Historical Average,2010/2011,58,HHS Region 1,1 wk ahead,0.999962678660714
Subtype Historical Average,2010/2011,58,HHS Region 1,1 wk ahead,3.73213392864934e-05
Historical Average,2011/2012,58,HHS Region 1,1 wk ahead,0.999991248768304
Subtype Historical Average,2011/2012,58,HHS Region 1,1 wk ahead,8.75123169602617e-06
Historical Average,2012/2013,58,HHS Region 1,1 wk ahead,0.999978668173568
Subtype Historical Average,2012/2013,58,HHS Region 1,1 wk ahead,2.13318264319432e-05
Historical Average,2013/2014,58,HHS Region 1,1 wk ahead,0.999962405271656
Subtype Historical Average,2013/2014,58,HHS Region 1,1 wk ahead,3.75947283438269e-05
Historical Average,2014/2015,58,HHS Region 1,1 wk ahead,0.99999752311327
Subtype Historical Average,2014/2015,58,HHS Region 1,1 wk ahead,2.47688673049512e-06
Historical Average,2015/2016,58,HHS Region 1,1 wk ahead,0.999949041482869
Subtype Historical Average,2015/2016,58,HHS Region 1,1 wk ahead,5.09585171305122e-05
Historical Average,2016/2017,58,HHS Region 1,1 wk ahead,0.999960468286399
Subtype Historical Average,2016/2017,58,HHS Region 1,1 wk ahead,3.95317136006139e-05
Historical Average,2017/2018,58,HHS Region 1,1 wk ahead,2.33101970596782e-06
Subtype Historical Average,2017/2018,58,HHS Region 1,1 wk ahead,0.999997668980294
Historical Average,2010/2011,59,HHS Region 1,1 wk ahead,0.843832801499209
Subtype Historical Average,2010/2011,59,HHS Region 1,1 wk ahead,0.156167198500791
Historical Average,2011/2012,59,HHS Region 1,1 wk ahead,0.999979820199025
Subtype Historical Average,2011/2012,59,HHS Region 1,1 wk ahead,2.01798009752957e-05
Historical Average,2012/2013,59,HHS Region 1,1 wk ahead,0.999878152323449
Subtype Historical Average,2012/2013,59,HHS Region 1,1 wk ahead,0.000121847676551124
Historical Average,2013/2014,59,HHS Region 1,1 wk ahead,0.999361332161248
Subtype Historical Average,2013/2014,59,HHS Region 1,1 wk ahead,0.000638667838751635
Historical Average,2014/2015,59,HHS Region 1,1 wk ahead,0.999144320678747
Subtype Historical Average,2014/2015,59,HHS Region 1,1 wk ahead,0.000855679321252946
Historical Average,2015/2016,59,HHS Region 1,1 wk ahead,0.996024665821761
Subtype Historical Average,2015/2016,59,HHS Region 1,1 wk ahead,0.0039753341782394
Historical Average,2016/2017,59,HHS Region 1,1 wk ahead,0.998386753263547
Subtype Historical Average,2016/2017,59,HHS Region 1,1 wk ahead,0.00161324673645335
Historical Average,2017/2018,59,HHS Region 1,1 wk ahead,3.19398507955427e-06
Subtype Historical Average,2017/2018,59,HHS Region 1,1 wk ahead,0.99999680601492
Historical Average,2010/2011,60,HHS Region 1,1 wk ahead,0.903049593178499
Subtype Historical Average,2010/2011,60,HHS Region 1,1 wk ahead,0.0969504068215006
