component_model_id,season,Model Week,weight
Subtype Historical Average,2010/2011,68,0.920776242999766
Historical Average,2011/2012,68,0.0650777682915599
Subtype Historical Average,2011/2012,68,0.93492223170844
Historical Average,2012/2013,68,0.10131427830824
Subtype Historical Average,2012/2013,68,0.89868572169176
Historical Average,2013/2014,68,0.271402361515318
Subtype Historical Average,2013/2014,68,0.728597638484682
Historical Average,2014/2015,68,0.206626651688531
Subtype Historical Average,2014/2015,68,0.793373348311469
Historical Average,2015/2016,68,0.0732432589901535
Subtype Historical Average,2015/2016,68,0.926756741009847
Historical Average,2016/2017,68,0.071037862490105
Subtype Historical Average,2016/2017,68,0.928962137509895
Historical Average,2017/2018,68,4.6148465755109e-06
Subtype Historical Average,2017/2018,68,0.999995385153424
Historical Average,2010/2011,69,0.0869772720332741
Subtype Historical Average,2010/2011,69,0.913022727966726
Historical Average,2011/2012,69,0.0726672887677813
Subtype Historical Average,2011/2012,69,0.927332711232219
Historical Average,2012/2013,69,0.116955773386643
Subtype Historical Average,2012/2013,69,0.883044226613357
Historical Average,2013/2014,69,0.270520814908981
Subtype Historical Average,2013/2014,69,0.729479185091019
Historical Average,2014/2015,69,0.232756621347523
Subtype Historical Average,2014/2015,69,0.767243378652477
Historical Average,2015/2016,69,0.0801263454790227
Subtype Historical Average,2015/2016,69,0.919873654520977
Historical Average,2016/2017,69,0.0780745201308291
Subtype Historical Average,2016/2017,69,0.921925479869171
Historical Average,2017/2018,69,5.06185163841441e-06
Subtype Historical Average,2017/2018,69,0.999994938148362
Historical Average,2010/2011,70,0.0949677726093083
Subtype Historical Average,2010/2011,70,0.905032227390692
Historical Average,2011/2012,70,0.0814754210938655
Subtype Historical Average,2011/2012,70,0.918524578906134
Historical Average,2012/2013,70,0.124993739970467
Subtype Historical Average,2012/2013,70,0.875006260029533
Historical Average,2013/2014,70,0.323689493159873
Subtype Historical Average,2013/2014,70,0.676310506840127
Historical Average,2014/2015,70,0.262253085974349
Subtype Historical Average,2014/2015,70,0.737746914025651
Historical Average,2015/2016,70,0.0915645587877798
Subtype Historical Average,2015/2016,70,0.90843544121222
Historical Average,2016/2017,70,0.0892480394838375
Subtype Historical Average,2016/2017,70,0.910751960516162
Historical Average,2017/2018,70,5.5355717825341e-06
Subtype Historical Average,2017/2018,70,0.999994464428217
Historical Average,2010/2011,71,0.0950151749485525
Subtype Historical Average,2010/2011,71,0.904984825051448
Historical Average,2011/2012,71,0.0864617510190317
Subtype Historical Average,2011/2012,71,0.913538248980968
Historical Average,2012/2013,71,0.124919854958668
Subtype Historical Average,2012/2013,71,0.875080145041332
Historical Average,2013/2014,71,0.327869558647285
Subtype Historical Average,2013/2014,71,0.672130441352715
Historical Average,2014/2015,71,0.259843996932832
Subtype Historical Average,2014/2015,71,0.740156003067168
Historical Average,2015/2016,71,0.0954054816578536
Subtype Historical Average,2015/2016,71,0.904594518342146
Historical Average,2016/2017,71,0.0911735430397234
