region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
States,Idaho,2019,45,62,0,2,3.23,0,3.23,2019-11-03
States,Illinois,2019,45,323,3,2,1.55,0.93,0.62,2019-11-03
States,Indiana,2019,45,234,3,3,2.56,1.28,1.28,2019-11-03
States,Iowa,2019,45,246,2,1,1.22,0.81,0.41,2019-11-03
States,Kansas,2019,45,85,0,0,0,0,0,2019-11-03
States,Kentucky,2019,45,641,6,2,1.25,0.94,0.31,2019-11-03
States,Louisiana,2019,45,796,11,114,15.7,1.38,14.32,2019-11-03
States,Maine,2019,45,72,0,1,1.39,0,1.39,2019-11-03
States,Maryland,2019,45,193,2,3,2.59,1.04,1.55,2019-11-03
States,Massachusetts,2019,45,570,1,1,0.35,0.18,0.18,2019-11-03
States,Michigan,2019,45,1430,10,3,0.91,0.7,0.21,2019-11-03
States,Minnesota,2019,45,342,1,0,0.29,0.29,0,2019-11-03
States,Mississippi,2019,45,110,0,1,0.91,0,0.91,2019-11-03
States,Missouri,2019,45,616,2,0,0.32,0.32,0,2019-11-03
States,Montana,2019,45,122,0,0,0,0,0,2019-11-03
States,Nebraska,2019,45,112,3,0,2.68,2.68,0,2019-11-03
States,Nevada,2019,45,64,0,23,35.94,0,35.94,2019-11-03
States,New Hampshire,2019,45,NA,NA,NA,NA,NA,NA,2019-11-03
States,New Jersey,2019,45,NA,NA,NA,NA,NA,NA,2019-11-03
States,New Mexico,2019,45,361,7,0,1.94,1.94,0,2019-11-03
States,New York,2019,45,1933,19,10,1.5,0.98,0.52,2019-11-03
States,North Carolina,2019,45,266,0,2,0.75,0,0.75,2019-11-03
States,North Dakota,2019,45,224,1,41,18.75,0.45,18.3,2019-11-03
States,Ohio,2019,45,2152,8,6,0.65,0.37,0.28,2019-11-03
States,Oklahoma,2019,45,264,1,1,0.76,0.38,0.38,2019-11-03
States,Oregon,2019,45,1132,8,34,3.71,0.71,3,2019-11-03
States,Pennsylvania,2019,45,351,1,2,0.85,0.28,0.57,2019-11-03
States,Rhode Island,2019,45,NA,NA,NA,NA,NA,NA,2019-11-03
States,South Carolina,2019,45,367,1,3,1.09,0.27,0.82,2019-11-03
States,South Dakota,2019,45,57,0,0,0,0,0,2019-11-03
States,Tennessee,2019,45,50,1,0,2,2,0,2019-11-03
States,Texas,2019,45,3435,70,505,16.74,2.04,14.7,2019-11-03
States,Utah,2019,45,532,9,5,2.63,1.69,0.94,2019-11-03
States,Vermont,2019,45,107,0,1,0.93,0,0.93,2019-11-03
States,Virginia,2019,45,364,2,2,1.1,0.55,0.55,2019-11-03
