component_model_id,season,Model Week,location,target,weight
Subtype Historical Average,2018/2019,59,West Virginia,2 wk ahead,1.66004016918036e-07
Subtype Historical Average,2018/2019,60,West Virginia,2 wk ahead,1.66004016918036e-07
Dynamic Harmonic Model,2018/2019,61,West Virginia,2 wk ahead,0.999988581964547
Dynamic Harmonic Model,2018/2019,62,West Virginia,2 wk ahead,0.999988581964547
Dynamic Harmonic Model,2018/2019,63,West Virginia,2 wk ahead,0.999988581964547
Dynamic Harmonic Model,2018/2019,64,West Virginia,2 wk ahead,0.999988581964547
Historical Average,2018/2019,61,West Virginia,2 wk ahead,3.80179703857651e-07
Historical Average,2018/2019,62,West Virginia,2 wk ahead,3.80179703857651e-07
Historical Average,2018/2019,63,West Virginia,2 wk ahead,3.80179703857651e-07
Historical Average,2018/2019,64,West Virginia,2 wk ahead,3.80179703857651e-07
Subtype Historical Average,2018/2019,61,West Virginia,2 wk ahead,1.10378557490015e-05
Subtype Historical Average,2018/2019,62,West Virginia,2 wk ahead,1.10378557490015e-05
Subtype Historical Average,2018/2019,63,West Virginia,2 wk ahead,1.10378557490015e-05
Subtype Historical Average,2018/2019,64,West Virginia,2 wk ahead,1.10378557490015e-05
Dynamic Harmonic Model,2018/2019,65,West Virginia,2 wk ahead,0.999999976916621
Dynamic Harmonic Model,2018/2019,66,West Virginia,2 wk ahead,0.999999976916621
Dynamic Harmonic Model,2018/2019,67,West Virginia,2 wk ahead,0.999999976916621
Dynamic Harmonic Model,2018/2019,68,West Virginia,2 wk ahead,0.999999976916621
Historical Average,2018/2019,65,West Virginia,2 wk ahead,1.53077845498917e-08
Historical Average,2018/2019,66,West Virginia,2 wk ahead,1.53077845498917e-08
Historical Average,2018/2019,67,West Virginia,2 wk ahead,1.53077845498917e-08
Historical Average,2018/2019,68,West Virginia,2 wk ahead,1.53077845498917e-08
Subtype Historical Average,2018/2019,65,West Virginia,2 wk ahead,7.77559456991654e-09
Subtype Historical Average,2018/2019,66,West Virginia,2 wk ahead,7.77559456991654e-09
Subtype Historical Average,2018/2019,67,West Virginia,2 wk ahead,7.77559456991654e-09
Subtype Historical Average,2018/2019,68,West Virginia,2 wk ahead,7.77559456991654e-09
Dynamic Harmonic Model,2018/2019,69,West Virginia,2 wk ahead,0.999999916272214
Dynamic Harmonic Model,2018/2019,70,West Virginia,2 wk ahead,0.999999916272214
Dynamic Harmonic Model,2018/2019,71,West Virginia,2 wk ahead,0.999999916272214
Dynamic Harmonic Model,2018/2019,72,West Virginia,2 wk ahead,0.999999916272214
Historical Average,2018/2019,69,West Virginia,2 wk ahead,7.24056253967338e-08
Historical Average,2018/2019,70,West Virginia,2 wk ahead,7.24056253967338e-08
Historical Average,2018/2019,71,West Virginia,2 wk ahead,7.24056253967338e-08
Historical Average,2018/2019,72,West Virginia,2 wk ahead,7.24056253967338e-08
Subtype Historical Average,2018/2019,69,West Virginia,2 wk ahead,1.13221608976449e-08
Subtype Historical Average,2018/2019,70,West Virginia,2 wk ahead,1.13221608976449e-08
Subtype Historical Average,2018/2019,71,West Virginia,2 wk ahead,1.13221608976449e-08
Subtype Historical Average,2018/2019,72,West Virginia,2 wk ahead,1.13221608976449e-08
Dynamic Harmonic Model,2018/2019,40,Delaware,3 wk ahead,0.999999948913843
Dynamic Harmonic Model,2018/2019,41,Delaware,3 wk ahead,0.999999948913843
Dynamic Harmonic Model,2018/2019,42,Delaware,3 wk ahead,0.999999948913843
Dynamic Harmonic Model,2018/2019,43,Delaware,3 wk ahead,0.999999948913843
Dynamic Harmonic Model,2018/2019,44,Delaware,3 wk ahead,0.999999948913843
Historical Average,2018/2019,40,Delaware,3 wk ahead,2.93231542808604e-08
Historical Average,2018/2019,41,Delaware,3 wk ahead,2.93231542808604e-08
Historical Average,2018/2019,42,Delaware,3 wk ahead,2.93231542808604e-08
Historical Average,2018/2019,43,Delaware,3 wk ahead,2.93231542808604e-08
Historical Average,2018/2019,44,Delaware,3 wk ahead,2.93231542808604e-08
Subtype Historical Average,2018/2019,40,Delaware,3 wk ahead,2.17630025867314e-08
Subtype Historical Average,2018/2019,41,Delaware,3 wk ahead,2.17630025867314e-08
Subtype Historical Average,2018/2019,42,Delaware,3 wk ahead,2.17630025867314e-08
Subtype Historical Average,2018/2019,43,Delaware,3 wk ahead,2.17630025867314e-08
Subtype Historical Average,2018/2019,44,Delaware,3 wk ahead,2.17630025867314e-08
Dynamic Harmonic Model,2018/2019,45,Delaware,3 wk ahead,0.999999949096235
Dynamic Harmonic Model,2018/2019,46,Delaware,3 wk ahead,0.999999949096235
Dynamic Harmonic Model,2018/2019,47,Delaware,3 wk ahead,0.999999949096235
Dynamic Harmonic Model,2018/2019,48,Delaware,3 wk ahead,0.999999949096235
Historical Average,2018/2019,45,Delaware,3 wk ahead,3.37344441739948e-08
Historical Average,2018/2019,46,Delaware,3 wk ahead,3.37344441739948e-08
Historical Average,2018/2019,47,Delaware,3 wk ahead,3.37344441739948e-08
Historical Average,2018/2019,48,Delaware,3 wk ahead,3.37344441739948e-08
Subtype Historical Average,2018/2019,45,Delaware,3 wk ahead,1.71693208945541e-08
Subtype Historical Average,2018/2019,46,Delaware,3 wk ahead,1.71693208945541e-08
Subtype Historical Average,2018/2019,47,Delaware,3 wk ahead,1.71693208945541e-08
Subtype Historical Average,2018/2019,48,Delaware,3 wk ahead,1.71693208945541e-08
Dynamic Harmonic Model,2018/2019,49,Delaware,3 wk ahead,0.999999981580698
Dynamic Harmonic Model,2018/2019,50,Delaware,3 wk ahead,0.999999981580698
Dynamic Harmonic Model,2018/2019,51,Delaware,3 wk ahead,0.999999981580698
Dynamic Harmonic Model,2018/2019,52,Delaware,3 wk ahead,0.999999981580698
Historical Average,2018/2019,49,Delaware,3 wk ahead,1.72452219291901e-08
Historical Average,2018/2019,50,Delaware,3 wk ahead,1.72452219291901e-08
Historical Average,2018/2019,51,Delaware,3 wk ahead,1.72452219291901e-08
Historical Average,2018/2019,52,Delaware,3 wk ahead,1.72452219291901e-08
Subtype Historical Average,2018/2019,49,Delaware,3 wk ahead,1.17408030857994e-09
Subtype Historical Average,2018/2019,50,Delaware,3 wk ahead,1.17408030857994e-09
Subtype Historical Average,2018/2019,51,Delaware,3 wk ahead,1.17408030857994e-09
Subtype Historical Average,2018/2019,52,Delaware,3 wk ahead,1.17408030857994e-09
Dynamic Harmonic Model,2018/2019,53,Delaware,3 wk ahead,0.999996513624243
Dynamic Harmonic Model,2018/2019,54,Delaware,3 wk ahead,0.999996513624243
Dynamic Harmonic Model,2018/2019,55,Delaware,3 wk ahead,0.999996513624243
Dynamic Harmonic Model,2018/2019,56,Delaware,3 wk ahead,0.999996513624243
Historical Average,2018/2019,53,Delaware,3 wk ahead,1.0384066733848e-06
Historical Average,2018/2019,54,Delaware,3 wk ahead,1.0384066733848e-06
Historical Average,2018/2019,55,Delaware,3 wk ahead,1.0384066733848e-06
Historical Average,2018/2019,56,Delaware,3 wk ahead,1.0384066733848e-06
Subtype Historical Average,2018/2019,53,Delaware,3 wk ahead,2.44796908372918e-06
Subtype Historical Average,2018/2019,54,Delaware,3 wk ahead,2.44796908372918e-06
Subtype Historical Average,2018/2019,55,Delaware,3 wk ahead,2.44796908372918e-06
Subtype Historical Average,2018/2019,56,Delaware,3 wk ahead,2.44796908372918e-06
Dynamic Harmonic Model,2018/2019,57,Delaware,3 wk ahead,0.44483542422399
Dynamic Harmonic Model,2018/2019,58,Delaware,3 wk ahead,0.44483542422399
Dynamic Harmonic Model,2018/2019,59,Delaware,3 wk ahead,0.44483542422399
Dynamic Harmonic Model,2018/2019,60,Delaware,3 wk ahead,0.44483542422399
Historical Average,2018/2019,57,Delaware,3 wk ahead,2.94891384460522e-06
Historical Average,2018/2019,58,Delaware,3 wk ahead,2.94891384460522e-06
Historical Average,2018/2019,59,Delaware,3 wk ahead,2.94891384460522e-06
Historical Average,2018/2019,60,Delaware,3 wk ahead,2.94891384460522e-06
Subtype Historical Average,2018/2019,57,Delaware,3 wk ahead,0.555161626862166
Subtype Historical Average,2018/2019,58,Delaware,3 wk ahead,0.555161626862166
Subtype Historical Average,2018/2019,59,Delaware,3 wk ahead,0.555161626862166
Subtype Historical Average,2018/2019,60,Delaware,3 wk ahead,0.555161626862166
Dynamic Harmonic Model,2018/2019,61,Delaware,3 wk ahead,0.999644621963238
Dynamic Harmonic Model,2018/2019,62,Delaware,3 wk ahead,0.999644621963238
Dynamic Harmonic Model,2018/2019,63,Delaware,3 wk ahead,0.999644621963238
Dynamic Harmonic Model,2018/2019,64,Delaware,3 wk ahead,0.999644621963238
Historical Average,2018/2019,61,Delaware,3 wk ahead,1.5395841694265e-25
Historical Average,2018/2019,62,Delaware,3 wk ahead,1.5395841694265e-25
Historical Average,2018/2019,63,Delaware,3 wk ahead,1.5395841694265e-25
Historical Average,2018/2019,64,Delaware,3 wk ahead,1.5395841694265e-25
Subtype Historical Average,2018/2019,61,Delaware,3 wk ahead,0.00035537803676201
Subtype Historical Average,2018/2019,62,Delaware,3 wk ahead,0.00035537803676201
Subtype Historical Average,2018/2019,63,Delaware,3 wk ahead,0.00035537803676201
Subtype Historical Average,2018/2019,64,Delaware,3 wk ahead,0.00035537803676201
