component_model_id,season,Model Week,location,weight
Historical Average,2015/2016,60,Oregon,1.50162033149715e-08
Subtype Historical Average,2015/2016,60,Oregon,5.91955907072145e-10
Dynamic Harmonic Model,2016/2017,60,Oregon,0.999999985679285
Historical Average,2016/2017,60,Oregon,1.38530008959993e-08
Subtype Historical Average,2016/2017,60,Oregon,4.67713740604347e-10
Dynamic Harmonic Model,2017/2018,60,Oregon,0.999999983716634
Historical Average,2017/2018,60,Oregon,1.5497167961548e-08
Subtype Historical Average,2017/2018,60,Oregon,7.86198314840181e-10
Dynamic Harmonic Model,2014/2015,61,Oregon,0.999999976817372
Historical Average,2014/2015,61,Oregon,1.47761155935082e-08
Subtype Historical Average,2014/2015,61,Oregon,8.40651285704121e-09
Dynamic Harmonic Model,2015/2016,61,Oregon,0.999999985028233
Historical Average,2015/2016,61,Oregon,1.2574681981823e-08
Subtype Historical Average,2015/2016,61,Oregon,2.39708543097787e-09
Dynamic Harmonic Model,2016/2017,61,Oregon,0.999999988535202
Historical Average,2016/2017,61,Oregon,9.9492918624625e-09
Subtype Historical Average,2016/2017,61,Oregon,1.51550592716914e-09
Dynamic Harmonic Model,2017/2018,61,Oregon,0.999999980454539
Historical Average,2017/2018,61,Oregon,1.68957196800597e-08
Subtype Historical Average,2017/2018,61,Oregon,2.64974155840685e-09
Dynamic Harmonic Model,2014/2015,62,Oregon,0.999999989498153
Historical Average,2014/2015,62,Oregon,6.21363837519981e-09
Subtype Historical Average,2014/2015,62,Oregon,4.28820844903557e-09
Dynamic Harmonic Model,2015/2016,62,Oregon,0.999999986550167
Historical Average,2015/2016,62,Oregon,1.08045058886572e-08
Subtype Historical Average,2015/2016,62,Oregon,2.64532683994633e-09
Dynamic Harmonic Model,2016/2017,62,Oregon,0.999999984960875
Historical Average,2016/2017,62,Oregon,1.16603231808445e-08
Subtype Historical Average,2016/2017,62,Oregon,3.37880183696634e-09
Dynamic Harmonic Model,2017/2018,62,Oregon,0.999999983795548
Historical Average,2017/2018,62,Oregon,1.30755845504597e-08
Subtype Historical Average,2017/2018,62,Oregon,3.12886721495559e-09
Dynamic Harmonic Model,2014/2015,63,Oregon,0.999999963267813
Historical Average,2014/2015,63,Oregon,1.70085798297787e-08
Subtype Historical Average,2014/2015,63,Oregon,1.97236070242267e-08
Dynamic Harmonic Model,2015/2016,63,Oregon,0.999999977257722
Historical Average,2015/2016,63,Oregon,1.54689752521234e-08
Subtype Historical Average,2015/2016,63,Oregon,7.27330317963606e-09
Dynamic Harmonic Model,2016/2017,63,Oregon,0.999999982368379
Historical Average,2016/2017,63,Oregon,1.12691476063969e-08
Subtype Historical Average,2016/2017,63,Oregon,6.36247343303959e-09
Dynamic Harmonic Model,2017/2018,63,Oregon,0.999999951019287
Historical Average,2017/2018,63,Oregon,3.38529493651084e-08
Subtype Historical Average,2017/2018,63,Oregon,1.51277639056097e-08
Dynamic Harmonic Model,2014/2015,64,Oregon,0.999999978874883
Historical Average,2014/2015,64,Oregon,1.1040164520921e-08
Subtype Historical Average,2014/2015,64,Oregon,1.00849525407793e-08
Dynamic Harmonic Model,2015/2016,64,Oregon,0.99999996553612
Historical Average,2015/2016,64,Oregon,2.1948889651713e-08
Subtype Historical Average,2015/2016,64,Oregon,1.25149902015918e-08
Dynamic Harmonic Model,2016/2017,64,Oregon,0.999999978677523
Historical Average,2016/2017,64,Oregon,1.33468369475496e-08
Subtype Historical Average,2016/2017,64,Oregon,7.97564002516244e-09
Dynamic Harmonic Model,2017/2018,64,Oregon,0.999999954453617
Historical Average,2017/2018,64,Oregon,3.08478743016219e-08
Subtype Historical Average,2017/2018,64,Oregon,1.46985082992799e-08
Dynamic Harmonic Model,2014/2015,65,Oregon,0.999999968425323
Historical Average,2014/2015,65,Oregon,1.48514800345641e-08
Subtype Historical Average,2014/2015,65,Oregon,1.67231970046407e-08
Dynamic Harmonic Model,2015/2016,65,Oregon,0.999999959872942
Historical Average,2015/2016,65,Oregon,2.55834720162528e-08
Subtype Historical Average,2015/2016,65,Oregon,1.45435859512974e-08
Dynamic Harmonic Model,2016/2017,65,Oregon,0.999999972668995
Historical Average,2016/2017,65,Oregon,1.6460805665907e-08
Subtype Historical Average,2016/2017,65,Oregon,1.08701990732726e-08
Dynamic Harmonic Model,2017/2018,65,Oregon,0.999999947908188
